字段5,字段6,﻿字段1,字段2
6.41E-10,6.41E-10,6.41E-10,6.41E-10
4.19E-11,4.19E-11,4.19E-11,4.19E-11
3.19E-08,3.19E-08,3.19E-08,3.19E-08
1.06E-05,1.06E-05,1.06E-05,1.06E-05
2.12E-33,2.12E-33,2.12E-33,2.12E-33
2.64E-06,2.64E-06,2.64E-06,2.64E-06
4.06E-08,4.06E-08,4.06E-08,4.06E-08
6.63E-07,6.63E-07,6.63E-07,6.63E-07
6.41E-10,6.41E-10,6.41E-10,6.41E-10
3.19E-08,3.19E-08,3.19E-08,3.19E-08
6.64E-07,6.64E-07,6.64E-07,6.64E-07
1.01E-11,1.01E-11,1.01E-11,1.01E-11
4.30E-05,4.30E-05,4.30E-05,4.30E-05
1.04E-08,1.04E-08,1.04E-08,1.04E-08
4.34E-05,4.34E-05,4.34E-05,4.34E-05
2.62E-09,2.62E-09,2.62E-09,2.62E-09
8.48E-33,8.48E-33,8.48E-33,8.48E-33
0.000175685,0.000175685,0.000175685,0.000175685
4.03E-11,4.03E-11,4.03E-11,4.03E-11
6.40E-10,6.40E-10,6.40E-10,6.40E-10
4.37E-05,4.37E-05,4.37E-05,4.37E-05
2.12E-33,2.12E-33,2.12E-33,2.12E-33
1.07E-08,1.07E-08,1.07E-08,1.07E-08
6.34E-10,6.34E-10,6.34E-10,6.34E-10
2.56E-09,2.56E-09,2.56E-09,2.56E-09
4.03E-11,4.03E-11,4.03E-11,4.03E-11
8.18E-06,8.18E-06,8.18E-06,8.18E-06
6.41E-10,6.41E-10,6.41E-10,6.41E-10
6.34E-10,6.34E-10,6.34E-10,6.34E-10
1.10E-05,1.10E-05,1.10E-05,1.10E-05
6.75E-07,6.75E-07,6.75E-07,6.75E-07
2.12E-33,2.12E-33,2.12E-33,2.12E-33
6.68E-07,6.68E-07,6.68E-07,6.68E-07
4.01E-11,4.01E-11,4.01E-11,4.01E-11
5.11E-07,5.11E-07,5.11E-07,5.11E-07
6.41E-10,6.41E-10,6.41E-10,6.41E-10
6.34E-10,6.34E-10,6.34E-10,6.34E-10
0.000168835,0.000168835,0.000168835,0.000168835
2.72E-06,2.72E-06,2.72E-06,2.72E-06
2.12E-33,2.12E-33,2.12E-33,2.12E-33
6.48E-10,6.48E-10,6.48E-10,6.48E-10
4.01E-11,4.01E-11,4.01E-11,4.01E-11
4.99E-10,4.99E-10,4.99E-10,4.99E-10
6.41E-10,6.41E-10,6.41E-10,6.41E-10
2.54E-09,2.54E-09,2.54E-09,2.54E-09
4.22E-05,4.22E-05,4.22E-05,4.22E-05
2.74E-06,2.74E-06,2.74E-06,2.74E-06
2.12E-33,2.12E-33,2.12E-33,2.12E-33
0.000176631,0.000176631,0.000176631,0.000176631
4.01E-11,4.01E-11,4.01E-11,4.01E-11
7.99E-09,7.99E-09,7.99E-09,7.99E-09
6.41E-10,6.41E-10,6.41E-10,6.41E-10
2.12E-33,2.12E-33,2.12E-33,2.12E-33
6.45E-10,6.45E-10,6.45E-10,6.45E-10
6.34E-10,6.34E-10,6.34E-10,6.34E-10
1.07E-08,1.07E-08,1.07E-08,1.07E-08
1.07E-08,1.07E-08,1.07E-08,1.07E-08
0.000130844,0.000130844,0.000130844,0.000130844
4.20E-08,4.20E-08,4.20E-08,4.20E-08
6.34E-10,6.34E-10,6.34E-10,6.34E-10
4.20E-08,4.20E-08,4.20E-08,4.20E-08
