字段7,字段8
6.71E-07,6.71E-07
6.34E-10,6.34E-10
1.04E-08,1.04E-08
4.03E-11,4.03E-11
0.000130833,0.000130833
6.41E-10,6.41E-10
2.12E-33,2.12E-33
6.79E-07,6.79E-07
2.53E-09,2.53E-09
2.56E-09,2.56E-09
2.74E-06,2.74E-06
3.19E-08,3.19E-08
1.03E-08,1.03E-08
6.34E-10,6.34E-10
6.41E-10,6.41E-10
2.62E-09,2.62E-09
4.99E-10,4.99E-10
4.29E-08,4.29E-08
6.34E-10,6.34E-10
0.000173748,0.000173748
4.07E-11,4.07E-11
2.05E-09,2.05E-09
2.62E-09,2.62E-09
2.12E-33,2.12E-33
6.41E-10,6.41E-10
2.53E-09,2.53E-09
6.71E-07,6.71E-07
1.06E-08,1.06E-08
2.12E-33,2.12E-33
1.03E-08,1.03E-08
4.03E-11,4.03E-11
0.000130833,0.000130833
6.41E-10,6.41E-10
6.34E-10,6.34E-10
1.05E-05,1.05E-05
4.34E-05,4.34E-05
2.12E-33,2.12E-33
4.13E-08,4.13E-08
4.01E-11,4.01E-11
3.27E-05,3.27E-05
6.41E-10,6.41E-10
2.54E-09,2.54E-09
1.06E-05,1.06E-05
4.42E-05,4.42E-05
2.12E-33,2.12E-33
0.00017089,0.00017089
4.01E-11,4.01E-11
0.000130833,0.000130833
6.41E-10,6.41E-10
2.53E-09,2.53E-09
4.24E-08,4.24E-08
4.01E-11,4.01E-11
1.28E-07,1.28E-07
6.79E-07,6.79E-07
2.16E-33,2.16E-33
2.67E-06,2.67E-06
4.01E-11,4.01E-11
1.65E-07,1.65E-07
4.13E-08,4.13E-08
2.08E-33,2.08E-33
1.05E-05,1.05E-05
