字段6,字段8,﻿字段1
6.71E-07,6.71E-07,4.01E-11
6.34E-10,6.34E-10,6.89E-07
1.04E-08,1.04E-08,1.67E-07
4.03E-11,4.03E-11,2.08E-33
0.000130833,0.000130833,1.05E-08
6.41E-10,6.41E-10,4.03E-11
2.12E-33,2.12E-33,2.67E-09
6.79E-07,6.79E-07,1.08E-08
2.53E-09,2.53E-09,4.26E-31
2.56E-09,2.56E-09,1.08E-08
2.74E-06,2.74E-06,6.34E-10
3.19E-08,3.19E-08,6.41E-10
1.03E-08,1.03E-08,4.17E-11
6.34E-10,6.34E-10,8.18E-06
6.41E-10,6.41E-10,1.04E-08
2.62E-09,2.62E-09,2.12E-33
4.99E-10,4.99E-10,1.06E-05
4.29E-08,4.29E-08,4.06E-08
6.34E-10,6.34E-10,4.22E-08
0.000173748,0.000173748,6.41E-10
4.07E-11,4.07E-11,2.00E-09
2.05E-09,2.05E-09,2.67E-06
2.62E-09,2.62E-09,1.00E-11
2.12E-33,2.12E-33,2.72E-06
6.41E-10,6.41E-10,1.07E-08
2.53E-09,2.53E-09,6.48E-10
6.71E-07,6.71E-07,1.08E-05
1.06E-08,1.06E-08,8.48E-33
2.12E-33,2.12E-33,6.41E-10
1.03E-08,1.03E-08,2.64E-09
4.03E-11,4.03E-11,4.99E-10
0.000130833,0.000130833,4.39E-05
6.41E-10,6.41E-10,4.03E-11
6.34E-10,6.34E-10,1.09E-05
1.05E-05,1.05E-05,1.03E-08
4.34E-05,4.34E-05,8.48E-33
2.12E-33,2.12E-33,1.64E-07
4.13E-08,4.13E-08,2.56E-09
4.01E-11,4.01E-11,4.99E-10
3.27E-05,3.27E-05,1.08E-08
6.41E-10,6.41E-10,4.03E-11
2.54E-09,2.54E-09,2.66E-09
1.06E-05,1.06E-05,2.59E-09
4.42E-05,4.42E-05,8.48E-33
2.12E-33,2.12E-33,1.07E-08
0.00017089,0.00017089,2.67E-09
4.01E-11,4.01E-11,4.99E-10
0.000130833,0.000130833,6.48E-10
6.41E-10,6.41E-10,4.05E-11
2.53E-09,2.53E-09,4.19E-08
4.24E-08,4.24E-08,0.000174732
4.01E-11,4.01E-11,8.48E-33
1.28E-07,1.28E-07,6.82E-07
6.79E-07,6.79E-07,4.03E-11
2.16E-33,2.16E-33,6.40E-10
2.67E-06,2.67E-06,4.24E-08
4.01E-11,4.01E-11,2.12E-33
1.65E-07,1.65E-07,1.72E-07
4.13E-08,4.13E-08,6.34E-10
2.08E-33,2.08E-33,2.59E-09
1.05E-05,1.05E-05,4.01E-11
